"Position / 
Position","Length / 
Longueur","Start / 
Début","Start / 
Fin","Variable / 
Variable","Variable Name - English / 
Nom de Variable - Anglais","Variable Name - French / 
Nom de Variable - Francais",Note 1 - English,Note 1 - French,Note 2 - English,Note 2 - French,"Code / 
Code","Label - English /
Étiquette - Anglais","Label - French /
Étiquette - Francais",,
,,,,,,,,,,,10,"Job losers, end of temporary or casual (employee)","Ont perdu leur emploi, fin de l'emploi temporaire ou occasionnel (employés)",,
,,,,,,,,,,,11,"Job losers, company moved or out of business (employee)","Ont perdu leur emploi, l'entreprise a déménagé ou a fermé (employés)",,
,,,,,,,,,,,12,"Job losers, business conditions (employee)","Ont perdu leur emploi, conjoncture économique (employés)",,
,,,,,,,,,,,13,"Job losers, dismissal or other reasons","Ont perdu leur emploi, congédiement ou autres raisons",,
,,,,,,,,,,,blank,Not applicable,Indisponible,,
100,3,1976,,durjless,Duration of joblessness (months),Durée de la période sans emploi (mois),Not currently employed and not in the labour force,Présentement non occupé et inactif,,,,,,,
,,,,,,,,,,,1-240,,,,
,,,,,,,,,,,blank,Not applicable,Indisponible,,
103,1,1976,,availabl,Availability during the reference week,Disponibilité durant la semaine de référence,,,,,,,,,
,,,,,,,,,,,1,Not available,Non disponible,,
,,,,,,,,,,,2,"Yes, available","Oui, disponible",,
,,,,,,,,,,,blank,Not applicable,Indisponible,,
104,1,1976,,lkpubag,"Unemployed, used public employment agency","Chômeurs, recherche par l'entremise d'une agence de placement publique",,,,,,,,,
,,,,,,,,,,,1,Yes,Oui,,
,,,,,,,,,,,blank,Not applicable,Indisponible,,
105,1,1976,,lkemploy,"Unemployed, checked with employers directly","Chômeurs, recherche directement auprès des employeurs",,,,,,,,,
,,,,,,,,,,,1,Yes,Oui,,
,,,,,,,,,,,blank,Not applicable,Indisponible,,
106,1,1976,,lkrels,"Unemployed, checked with friends or relatives","Chômeurs, recherche auprès d'amis ou de parents",,,,,,,,,
,,,,,,,,,,,1,Yes,Oui,,
,,,,,,,,,,,blank,Not applicable,Indisponible,,
107,1,1976,,lkatads,"Unemployed, looked at job ads","Chômeurs, consultation des annonces d'offres d'emploi",,,,,,,,,
,,,,,,,,,,,1,Yes,Oui,,
,,,,,,,,,,,blank,Not applicable,Indisponible,,
108,1,1976,,lkansads,"Unemployed, placed or answered ads","Chômeurs, placement d'une annonce ou réponse à une offre d'emploi",,,,,,,,,
,,,,,,,,,,,1,Yes,Oui,,
,,,,,,,,,,,blank,Not applicable,Indisponible,,
109,1,1976,,lkothern ,"Unemployed, other methods","Chômeurs, autres méthodes",,,,,,,,,
,,,,,,,,,,,1,Yes,Oui,,
,,,,,,,,,,,blank,Not applicable,Indisponible,,
110,1,1976,,prioract,Main activity before started looking for work,Activité principale avant de commencer à chercher du travail,Unemployed job searchers only,Chômeurs à la recherche d'un emploi seulement,,,,,,,
,,,,,,,,,,,0,Other,Autre,,
,,,,,,,,,,,1,Working,Travaillaient,,
,,,,,,,,,,,2,Managing a home,Tenaient maison,,
,,,,,,,,,,,3,Going to school,Allaient à l'école,,
,,,,,,,,,,,blank,Not applicable,Indisponible,,
112,1,1997,,ynolook,Reason for not looking for work during the reference week,Raisons pour ne pas chercher d'emploi durant la semaine de référence,,,,,,,,,
,,,,,,,,,,,0,"Wanted work, reason - other","Voulaient travailler, raison - autres",,
,,,,,,,,,,,1,"Wanted work, reason - own illness or disability","Voulaient travailler, raison - maladie ou incapacité",,
,,,,,,,,,,,2,"Wanted work, reason - caring for children","Voulaient travailler, raison - soins des enfants",,
,,,,,,,,,,,3,"Wanted work, reason - other personal or family responsibilities","Voulaient travailler, raison - autres obligations personnelles ou familiales",,
,,,,,,,,,,,4,"Wanted work, reason - school","Voulaient travailler, raison - école",,
,,,,,,,,,,,5,"Wanted work, reason - awaiting recall or reply","Voulaient travailler, raison - en attente d'un appel ou réponse",,
,,,,,,,,,,,6,"Wanted work, reason - discouraged","Voulaient travailler, raison - découragés",,
,,,,,,,,,,,blank,Not applicable,Indisponible,,
113,1,1976,,tlolook,"Temporary layoff, looked for work during the last four weeks","Mise à pied temporaire, personnes qui avaient cherché du travail durant les quatre dernières semaines",,,,,,,,,
,,,,,,,,,,,1,Yes,Oui,,
,,,,,,,,,,,2,No,Non,,
,,,,,,,,,,,blank,Not applicable,Indisponible,,
114,1,2017,,schooln,Current student status,Statut d'étudiant actuel ,,,,,,,,,
,,,,,,,,,,,1,Non-student,Non-étudiants,,
,,,,,,,,,,,2,Full-time student,Étudiants à temps plein,,
,,,,,,,,,,,3,Part-time student,Étudiants à temps partiel,,
,,,,,,,,,,,blank,Not applicable,Indisponible,,
116,2,1976,,efamtype,Type of economic family,Genre de famille économique,From viewpoint of reference person,Du point de vue de la personne de référence,,,,,,,
,,,,,,,,,,,01,Person not in an economic family,Personne hors famille économique,,
,,,,,,,,,,,02,"Dual-earner couple, no children or none under 25","Famille comptant un couple avec deux soutiens, pas d’enfant ou aucun enfant de moins de 25 ans",,
,,,,,,,,,,,03,"Dual-earner couple, youngest child 0 to 17","Famille compant un couple avec deux soutiens, dont le plus jeune enfant a entre 0 et 17 ans",,
,,,,,,,,,,,04,"Dual-earner couple, youngest child 18 to 24","Famille compant un couple avec deux soutiens, dont le plus jeune enfant a entre 18 et 24 ans",,
,,,,,,,,,,,05,"Single-earner couple, male employed, no children or none under 25","Famille comptant un couple avec un homme comme soutien, pas d’enfant ou aucun enfant de moins de 25 ans",,
,,,,,,,,,,,06,"Single-earner couple, male employed, youngest child 0 to 17","Famille comptant un couple avec un homme comme soutien, dont le plus jeune enfant a entre 0 et 17 ans",,
,,,,,,,,,,,07,"Single-earner couple, male employed, youngest child 18 to 24","Famille comptant un couple avec un homme comme soutien, dont le plus jeune enfant a entre18 et 24 ans",,
,,,,,,,,,,,08,"Single-earner couple, female employed, no children or none under 25","Famille comptant un couple avec une femme comme soutien, pas d’enfant ou aucun enfant de moins de 25 ans",,
,,,,,,,,,,,09,"Single-earner couple, female employed, youngest child 0 to 17","Famille comptant un couple avec une femme comme soutien, dont le plus jeune enfant a entre 0 et 17 ans",,
,,,,,,,,,,,10,"Single-earner couple, female employed, youngest child 18 to 24","Famille comptant un couple avec une femme comme soutien, dont le plus jeune enfant a entre18 et 24 ans",,
,,,,,,,,,,,11,"Non-earner couple, no children or none under 25","Famille comptant un couple sans soutien, pas d’enfant ou aucun enfant de moins de 25 ans",,
,,,,,,,,,,,12,"Non-earner couple, youngest child 0 to 17","Famille comptant un couple sans soutien, dont le plus jeune enfant a entre 0 et 17 ans",,
,,,,,,,,,,,13,"Non-earner couple, youngest child 18 to 24","Famille comptant un couple sans soutien, dont le plus jeune enfant a entre 18 et 24 ans",,
,,,,,,,,,,,14,"Lone-parent family, parent employed, youngest child 0 to 17","Famille monoparentale, le parent travaille, dont le plus jeune enfant a entre 0 et 17 ans",,
,,,,,,,,,,,15,"Lone-parent family, parent employed, youngest child 18 to 24","Famille monoparentale, le parent travaille, dont le plus jeune enfant a entre 18 et 24 ans",,
,,,,,,,,,,,16,"Lone-parent family, parent not employed, youngest child 0 to 17","Famille monoparentale, le parent ne travaille pas, dont le plus jeune enfant a entre 0 et 17 ans",,
,,,,,,,,,,,17,"Lone-parent family, parent not employed, youngest child 18 to 24","Famille monoparentale, le parent ne travaille pas, dont le plus jeune enfant a entre 18 et 24 ans",,
,,,,,,,,,,,18,Other families,Autres Familles,,
132,1,2017,,agyownk,Age of youngest child,L’âge du plus jeune enfant,On parent(s) record only,Sur l'observation du ou des parents seulement,,,,,,,
,,,,,,,,,,,1,Youngest child less than 6 years,Plus jeune enfant de moins de 6 ans,,
,,,,,,,,,,,2,Youngest child 6 to 12 years,Plus jeune enfant de 6 à 12 ans,,
,,,,,,,,,,,3,Youngest child 13 to 17 years,Plus jeune enfant de 13 à 17 ans,,
,,,,,,,,,,,4,Youngest child 18 to 24 years,Plus jeune enfant de 18 à 24 ans,,
,,,,,,,,,,,blank,Not applicable,Indisponible,,
134,5,1976,,finalwt,Standard final weight,Le poids final standard,,,,,,,,,
,,,,,,,,,,,1-99999,,,,
